Weekly_GenAI_Hours,Primary_Use_Case,Prompt_Engineering_Skill,Tool_Diversity,Traditional_Study_Hours,Perceived_AI_Dependency,Institutional_Policy,Anxiety_Level_During_Exams,Major_Category,Year_of_Study,Burnout_Risk_Level,Burnout_Code
23.31,0,1,1,8.13,5,Allowed_With_Citation,6,Humanities,Senior,High,0
1.12,3,0,5,16.65,3,Allowed_With_Citation,9,Medical,Junior,Low,1
21.26,4,1,2,10.35,5,Strict_Ban,9,Business,Freshman,Medium,2
1.82,0,2,4,15.23,2,Allowed_With_Citation,2,Business,Senior,Medium,2
9.29,1,0,4,12.55,4,Allowed_With_Citation,4,STEM,Sophomore,Medium,2
6.5,1,1,1,14.19,4,Allowed_With_Citation,5,STEM,Junior,High,0
31.41,4,0,5,13.11,8,Allowed_With_Citation,7,STEM,Freshman,Medium,2
5.33,0,2,3,18.45,2,Actively_Encouraged,1,Arts,Junior,Medium,2
2.0,1,1,2,2.87,1,Strict_Ban,5,Business,Sophomore,Medium,2
19.99,1,2,2,12.49,3,Strict_Ban,8,Business,Sophomore,High,0
5.16,4,0,3,11.43,5,Allowed_With_Citation,3,STEM,Graduate,High,0
3.62,2,2,3,8.05,3,Actively_Encouraged,3,Medical,Junior,Medium,2
2.86,0,1,2,8.95,2,Actively_Encouraged,4,Arts,Senior,High,0
8.95,2,1,1,25.3,2,Allowed_With_Citation,3,STEM,Junior,Medium,2
1.22,0,1,1,16.52,2,Allowed_With_Citation,4,STEM,Freshman,Low,1
14.74,1,1,1,12.59,4,Allowed_With_Citation,4,STEM,Senior,Medium,2
2.08,2,0,3,15.15,5,Strict_Ban,8,Humanities,Sophomore,Medium,2
8.03,2,0,4,10.7,4,Allowed_With_Citation,5,Business,Senior,Medium,2
0.51,4,1,1,10.84,1,Allowed_With_Citation,2,Humanities,Junior,Medium,2
0.2,1,2,4,3.69,1,Allowed_With_Citation,4,STEM,Sophomore,Medium,2
1.63,0,2,4,18.71,4,Strict_Ban,3,Business,Sophomore,Low,1
4.91,1,1,1,15.78,2,Allowed_With_Citation,6,STEM,Senior,Low,1
10.48,0,2,2,2.75,2,Allowed_With_Citation,3,STEM,Junior,Medium,2
0.45,3,1,1,10.61,1,Allowed_With_Citation,8,Humanities,Senior,Low,1
28.72,0,1,1,8.24,8,Strict_Ban,7,Humanities,Freshman,Medium,2
2.38,3,0,4,11.33,2,Actively_Encouraged,2,Arts,Senior,High,0
18.62,1,0,5,14.29,6,Allowed_With_Citation,2,STEM,Sophomore,Medium,2
23.96,3,2,2,6.54,5,Allowed_With_Citation,1,Business,Junior,High,0
0.68,3,1,1,17.89,1,Actively_Encouraged,4,Business,Freshman,Low,1
12.83,1,0,4,10.25,5,Allowed_With_Citation,4,STEM,Sophomore,Medium,2
1.26,2,2,4,16.16,2,Allowed_With_Citation,6,Business,Senior,Low,1
0.72,1,2,2,11.77,5,Allowed_With_Citation,5,STEM,Sophomore,Medium,2
1.27,2,0,3,16.16,3,Allowed_With_Citation,5,STEM,Graduate,Medium,2
5.56,4,2,5,9.89,2,Allowed_With_Citation,1,Medical,Senior,Medium,2
19.92,4,1,2,1.0,7,Allowed_With_Citation,3,Medical,Graduate,High,0
1.17,2,2,4,3.67,2,Strict_Ban,5,Arts,Sophomore,High,0
0.29,0,0,3,7.46,1,Allowed_With_Citation,5,Humanities,Freshman,Low,1
16.77,1,2,3,1.0,5,Allowed_With_Citation,4,STEM,Junior,Low,1
1.58,3,2,4,13.34,1,Allowed_With_Citation,5,Business,Sophomore,High,0
4.19,1,2,3,10.81,2,Actively_Encouraged,2,Humanities,Junior,Medium,2
7.17,1,0,3,8.95,5,Allowed_With_Citation,8,STEM,Senior,Medium,2
0.41,4,1,3,11.3,1,Allowed_With_Citation,5,Humanities,Senior,Low,1
8.06,1,1,3,8.42,3,Allowed_With_Citation,4,STEM,Freshman,Medium,2
4.67,4,1,3,8.21,4,Strict_Ban,4,Medical,Senior,Medium,2
14.47,1,2,3,9.36,4,Allowed_With_Citation,7,STEM,Junior,Low,1
6.34,3,2,2,21.22,2,Strict_Ban,5,Business,Junior,Low,1
6.26,0,2,1,11.84,4,Allowed_With_Citation,3,Humanities,Sophomore,Medium,2
8.04,2,1,2,10.5,2,Actively_Encouraged,3,Business,Junior,Medium,2
8.78,3,2,3,5.97,1,Strict_Ban,3,Business,Senior,High,0
